IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.216.150,4,4,0.00,37.39,88.07
104.18.158.32,4,4,0.00,74.68,87.41
104.18.176.113,4,4,0.00,74.79,82.88
104.18.72.49,4,4,0.00,73.54,81.53
104.18.151.222,4,4,0.00,74.80,80.23
104.17.197.17,4,4,0.00,38.02,80.21
104.19.213.172,4,4,0.00,38.52,79.41
104.18.188.41,4,4,0.00,74.57,71.00
104.18.189.244,4,4,0.00,73.70,66.23
104.17.136.201,4,4,0.00,37.99,62.17
104.18.79.216,4,4,0.00,73.99,58.81
104.25.254.52,4,4,0.00,39.93,50.09
104.18.182.34,4,4,0.00,74.08,48.99
104.18.69.36,4,4,0.00,73.58,48.46
104.17.204.30,4,4,0.00,72.05,38.60
141.101.115.185,4,4,0.00,74.60,37.79
104.17.132.88,4,4,0.00,38.10,32.64
104.17.141.94,4,4,0.00,38.50,27.15
104.18.184.165,4,4,0.00,74.39,23.94
104.18.161.178,4,4,0.00,74.69,19.19
198.41.214.85,4,4,0.00,74.79,14.21
104.18.76.253,4,4,0.00,74.19,8.84
104.18.146.174,4,4,0.00,38.69,7.56
104.19.215.239,4,4,0.00,74.84,7.25
104.19.219.159,4,4,0.00,74.72,5.73
172.64.232.237,4,4,0.00,38.16,2.96
104.25.255.155,4,4,0.00,34.96,2.10
104.18.74.2,4,4,0.00,74.15,1.78
104.18.67.151,4,4,0.00,37.25,1.31
172.65.206.242,4,4,0.00,74.73,0.00
