IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.220.45,4,4,0.00,75.68,533.44
104.19.209.66,4,4,0.00,74.98,527.86
104.18.239.19,4,4,0.00,76.06,527.42
104.19.222.163,4,4,0.00,75.00,527.22
104.18.163.83,4,4,0.00,75.10,519.05
104.18.237.156,4,4,0.00,74.75,333.01
104.18.154.3,4,4,0.00,75.02,329.15
104.18.187.252,4,4,0.00,75.51,328.23
104.17.136.173,4,4,0.00,75.54,326.24
104.18.188.89,4,4,0.00,73.83,322.70
104.18.190.126,4,4,0.00,75.00,322.28
104.17.132.208,4,4,0.00,75.86,322.24
104.18.235.200,4,4,0.00,74.20,321.53
104.18.186.175,4,4,0.00,75.67,321.19
104.18.155.25,4,4,0.00,74.35,316.46
104.18.59.50,4,4,0.00,74.99,227.31
104.18.64.117,4,4,0.00,72.97,83.16
104.18.73.101,4,4,0.00,73.75,83.10
141.101.115.84,4,4,0.00,38.72,81.47
104.18.191.168,4,4,0.00,73.55,81.36
104.19.223.158,4,4,0.00,38.35,78.71
104.18.177.235,4,4,0.00,43.85,49.87
104.25.249.230,4,4,0.00,33.36,41.14
104.18.174.233,4,4,0.00,44.68,35.91
104.18.70.32,4,4,0.00,38.23,30.70
104.18.170.115,4,4,0.00,45.14,30.38
104.18.48.254,4,4,0.00,75.28,13.39
104.18.147.62,4,4,0.00,39.22,10.48
104.18.78.35,4,4,0.00,73.49,8.23
104.25.255.137,4,4,0.00,36.75,2.75
